Location,Series,Court,Surface,Round,Total
Sao Paulo,ATP250,Indoor,Clay,The Final,5
Scottsdale,International,Outdoor,Hard,1st Round,96
Scottsdale,International,Outdoor,Hard,2nd Round,48
Scottsdale,International,Outdoor,Hard,Quarterfinals,24
Scottsdale,International,Outdoor,Hard,Semifinals,12
Scottsdale,International,Outdoor,Hard,The Final,6
Shanghai,International,Outdoor,Hard,1st Round,64
Shanghai,International,Outdoor,Hard,2nd Round,32
Shanghai,International,Outdoor,Hard,Quarterfinals,16
Shanghai,International,Outdoor,Hard,Semifinals,8
Shanghai,International,Outdoor,Hard,The Final,4
Shanghai,Masters 1000,Outdoor,Hard,1st Round,168
Shanghai,Masters 1000,Outdoor,Hard,2nd Round,112
Shanghai,Masters 1000,Outdoor,Hard,3rd Round,56
Shanghai,Masters 1000,Outdoor,Hard,Quarterfinals,28
Shanghai,Masters 1000,Outdoor,Hard,Semifinals,14
Shanghai,Masters 1000,Outdoor,Hard,The Final,7
Shanghai,Masters Cup,Indoor,Hard,Round Robin,60
Shanghai,Masters Cup,Indoor,Hard,Semifinals,10
Shanghai,Masters Cup,Indoor,Hard,The Final,5
Shenzhen ,ATP250,Outdoor,Hard,1st Round,24
Shenzhen ,ATP250,Outdoor,Hard,2nd Round,16
Shenzhen ,ATP250,Outdoor,Hard,Quarterfinals,8
Shenzhen ,ATP250,Outdoor,Hard,Semifinals,4
Shenzhen ,ATP250,Outdoor,Hard,The Final,2
Sofia,ATP250,Indoor,Hard,1st Round,12
Sofia,ATP250,Indoor,Hard,2nd Round,8
Sofia,ATP250,Indoor,Hard,Quarterfinals,4
Sofia,ATP250,Indoor,Hard,Semifinals,2
Sofia,ATP250,Indoor,Hard,The Final,1
Sopot,International,Outdoor,Clay,1st Round,112
Sopot,International,Outdoor,Clay,2nd Round,56
Sopot,International,Outdoor,Clay,Quarterfinals,28
Sopot,International,Outdoor,Clay,Semifinals,14
Sopot,International,Outdoor,Clay,The Final,7
St. Petersburg,ATP250,Indoor,Hard,1st Round,104
St. Petersburg,ATP250,Indoor,Hard,2nd Round,56
St. Petersburg,ATP250,Indoor,Hard,Quarterfinals,28
St. Petersburg,ATP250,Indoor,Hard,Semifinals,14
St. Petersburg,ATP250,Indoor,Hard,The Final,7
St. Petersburg,International,Indoor,Carpet,1st Round,80
St. Petersburg,International,Indoor,Carpet,2nd Round,40
St. Petersburg,International,Indoor,Carpet,Quarterfinals,20
St. Petersburg,International,Indoor,Carpet,Semifinals,10
St. Petersburg,International,Indoor,Carpet,The Final,5
St. Petersburg,International,Indoor,Hard,1st Round,64
St. Petersburg,International,Indoor,Hard,2nd Round,32
St. Petersburg,International,Indoor,Hard,Quarterfinals,16
St. Petersburg,International,Indoor,Hard,Semifinals,8
St. Petersburg,International,Indoor,Hard,The Final,4
Total,,,,,39385
